10001	champions	9985
10005	tributariesLeft	10008
10005	tributariesLeft	10014
10005	tributariesLeft	10015
10005	tributariesLeft	10016
10005	tributariesRight	10007
10005	tributariesRight	10009
10005	tributariesRight	10010
10005	tributariesRight	10011
10005	tributariesRight	10012
10013	source1Location	30778
10013	tributariesLeft	17998
10013	tributariesLeft	30807
10013	tributariesLeft	42304
10013	tributariesLeft	42305
10013	tributariesLeft	42306
10013	tributariesLeft	42308
10013	tributariesLeft	42309
10013	tributariesLeft	42310
10013	tributariesRight	42301
10013	tributariesRight	42302
10013	tributariesRight	42303
10013	tributariesRight	42307
10017	coach	10018
10023	governmentType	10025
10023	west	10026
10027	nearNw	10030
10027	nearW	10029
10027	seat	10034
10028	seat	29137
10031	nearN	16488
10031	nearNw	16489
10031	nearS	16490
10031	nearW	16491
10033	nearNe	10028
10033	nearS	16528
10033	nearSw	16526
10033	nearW	10031
10033	seat	16529
10035	association	10036
10035	confederation	10037
10035	regionalName	10038
10035	round	1841
10037	leaderName	28904
10039	lga	10027
10039	stategov	10032
1004	bowlname	1002
1004	bowlname	15831
1004	bowlname	30214
1004	bowlname	30215
1004	bowlname	30216
1004	bowlname	30217
1004	bowlname	8340
10040	route	10041
10041	terminus	10042
10044	mop	36618
10044	semifinal	36619
10045	runnerup	38380
10045	semifinal	38381
10045	semifinal	38382
10047	runnerup	32467
10047	semifinal	32465
10048	champions	32464
10048	coach	32466
10048	mvp	35424
10048	runnerup	35423
10048	semifinal	32463
1005	commissioner	29026
10050	mvp	10052
10050	poll2title	1792
10056	listing	10057
10058	orders	10060
10058	spouses	10062
10062	father	16781
10063	burialPlace	21592
10063	mother	21593
10063	succession	21594
10064	areaCode	4806
10065	blankNameSec	10067
10068	ne	10066
10069	ne	10065
10069	nw	10087
10069	seat	10088
10069	sw	10086
10069	w	10089
10071	gamesPlace	10073
10071	gamesPlace	10075
10071	worldPlace	9777
10072	leaderName	10683
10076	hostCity	10077
10076	organisers	10078
10079	leaderParty	34614
10081	asianPlace	10083
10081	gamesPlace	10084
10081	worldPlace	9776
10085	header	10119
1009	introducer	1061
1009	portrayer	1057
10090	size	10091
10093	mp	23744
10094	stategov	34165
10095	hostCity	10096
10095	hostCity	10097
10098	site	10100
1010	halfbrothers	1011
1010	halfbrothers	1066
1010	halfsisters	1064
1010	nieces	1065
10101	locationCity	10102
10107	gamesPlace	10108
10107	worldPlace	10109
1011	creator	1068
1011	family	1014
1011	grandfathers	1012
1011	halfbrothers	1007
1011	halfbrothers	1008
1011	halfbrothers	1009
1011	halfbrothers	1010
1011	halfsisters	1020
1011	halfsisters	1021
1011	halfsisters	1022
1011	halfsisters	1023
1011	nephews	1024
10110	majorwins	10111
10112	e	37340
10112	e	37342
10112	majority	10117
10112	majority	37339
10112	s	37343
10112	se	37341
10112	w	30845
10112	w	37338
10113	northeast	16386
10113	west	16387
10116	leader1Type	38836
10119	text	36273
10119	text	36274
10119	text	36275
10119	text	36276
10119	text	36277
10119	text	36278
10119	text	36279
10119	text	36280
10119	text	36281
10119	text	36282
10119	text	36283
10121	role	4578
10122	cteam	8917
10125	affiliation	32248
10125	arena	32249
10125	coach	14037
10125	sponsor	32247
10126	coach	17212
10127	ffff	10132
10127	mfff	10130
10127	mffm	10133
10127	mfmf	10128
10140	damsire	10144
10141	horses	16997
10141	horses	16999
10142	keyPeople	19940
10142	keyPeople	19941
10142	keyPeople	19942
10142	keyPeople	19943
10145	championshipLocation	10146
10145	championshipLocation	10147
10148	commands	20628
10148	commands	20629
10148	lieutenant	20627
10148	mawards	20630
10148	premier	20631
10149	currency	26770
10149	currency	26771
1015	brothers	1084
1015	halfbrothers	1090
10151	overlay	19078
10151	stategov	19077
10152	garrison	2119
10155	south	24966
10176	champions	13961
10176	mop	14223
10176	runnerup	13897
10176	semifinal	14143
10176	semifinal	14222
10176	topscorer	14224
10177	mop	32965
10177	mop	32966
10178	mop	31058
10178	mop	31059
10179	coach	22743
10179	mop	22742
10179	semifinal	22740
10179	semifinal	22741
10181	commandStructure	10182
10183	combatant	10184
10185	lyrics	10186
10185	lyrics	10187
10188	chancellor	10189
10188	chancellor	10190
10192	other	167
10193	coach	10195
10193	television	10194
10193	television	5186
10196	parent	10197
10198	commander	10199
10198	commander	10200
10199	commands	43599
10199	laterwork	43598
10201	goalie	10206
10201	goalie	10207
10212	colours	10213
10212	colours	10214
10214	bSide	43187
10214	bSide	43188
10215	asianPlace	10072
10215	asianPlace	10074
10215	bronze	10218
10215	gold	10216
10215	worldPlace	9777
10220	mp	10221
10223	winners	10225
10228	beltwayCity	10230
10228	maint	10232
10228	notes	10231
10228	road	10229
10237	champions	10499
10237	mvp	10500
10239	commands	10240
10239	placeofburial	10241
10240	notableCommanders	10239
10240	notableCommanders	35075
10240	notableCommanders	35076
10240	notableCommanders	35077
10242	borough	10244
10244	blank1InfoSec	10298
10244	leaderParty	10303
10244	north	10299
10244	north	10300
10244	northeast	10301
10244	northwest	10297
10244	partsType	10302
10244	southwest	10295
10244	west	10296
10247	mps	20895
10249	chairman	10250
10249	seasonTopscorer	10251
10252	decorations	9366
10254	hq	10245
10254	replace	10255
10254	status	10256
10257	deputy	10258
10260	homeStation	10261
10260	homeStation	10262
10260	homeStation	10263
10266	schoolboard	10267
10266	schooltype	10268
10271	east	26694
10271	leaderName	26691
10271	leaderName	26692
10271	northwest	26690
10271	southwest	26696
10271	west	26693
10271	west	26695
10272	leaderName	10273
10272	leaderName	10275
10277	mp	10280
10277	namesake	10278
10279	seats1Title	26382
1028	parents	1087
10280	relatives	24209
10280	relatives	24210
10281	beforeElection	10283
10283	alongside	23699
10283	alongside	23702
10283	alongside	23705
10283	deputy	10282
10283	deputy	23703
10283	otherparty	23700
10283	otherparty	23701
10284	seat	10286
10285	merger	13761
10287	ballpark	10290
10287	owners	10289
10287	television	10288
1029	halfbrothers	1017
1029	halfbrothers	1028
1029	halfsisters	1015
1029	stepfather	1006
1029	stepfather	1013
10291	combatant	7497
10292	stat3label	1000
10294	gm	35547
10294	list1.	35543
10294	list1.	35546
10294	list1.	35548
10294	list1.	35549
103	honorificPrefix	104
10304	homehr	10305
10304	road	8596
10304	runnerup	9485
10304	television	10309
10304	wp	10308
10310	founder	10315
10310	seats1Title	10313
10310	seats2Title	10314
10310	split	10311
10314	leader1Type	18034
10317	careerPosition	859
10318	animator	10319
10318	animator	10321
10318	story	10320
10322	anthem	10324
10323	bowlname	15833
10323	bowlname	15835
10323	bowlname	15837
10323	bowlname	15838
10323	bowlname	15839
10327	conf	10331
10327	playerTeam	10332
10333	registrationPlate	4116
10334	era	10335
10334	notableIdeas	10336
10338	leaderName	18762
10338	separations	18766
10338	theology	18763
10338	theology	18764
10340	runner	10343
10340	visitorCoach	10342
10341	bowlname	10340
10341	bowlname	23748
10341	bowlname	25750
10347	deputy	10348
10347	deputy	10351
10347	honorificPrefix	10349
10350	mayor	10347
10350	nearSw	10355
10350	nearW	10358
10350	seat	10360
10354	nearNw	10356
10354	nearS	14566
10354	nearSw	10353
10354	seat	14565
10354	stategov	9024
10356	nearNe	34136
10356	nearSe	10354
10356	nearSw	10350
10356	nearW	10359
10356	stategov	10357
10357	mp	38846
10357	mp	38847
10357	mp	38848
10357	mp	38849
1036	bowlname	1032
1036	bowlname	27162
1036	bowlname	29035
1036	bowlname	32122
1036	bowlname	35086
1036	bowlname	38196
1036	bowlname	39720
1036	bowlname	39721
1036	bowlname	7416
1036	bowlname	8997
10361	mp	22500
10361	namesake	38850
10362	combatant	10364
10362	commander	10363
10362	commander	10365
10366	publictransit	23583
10367	instruments	10368
10369	beforeElection	10370
10371	east	10374
10371	west	10373
10372	east	10732
10372	east	10733
10372	south	10734
10373	east	10686
10373	east	10687
10373	south	10685
10378	meteorshowers	10380
1038	family	34168
10381	variable	10382
10383	trainer	10385
10388	breeder	37795
10388	fmf	37798
10388	mf	37800
10388	mmmf	37796
10388	sire	37799
10388	trainer	37794
10389	variable	10391
10392	surface	10393
10394	preceded	10396
10394	succeeded	10395
10397	jurisdiction	10399
10397	union	10400
10401	governingBody	10403
10401	nearestCity	10402
10404	currentTeam	10405
10404	currentTitle	699
10408	site	10409
10408	site	10410
10408	site	10411
1041	managers	1042
1041	television	1045
10412	afterElection	10416
10412	beforeElection	10413
10412	image	10415
10412	nominee	10414
10417	doctoralAdvisor	10426
10417	doctoralStudents	10424
10417	doctoralStudents	10425
10417	knownFor	10418
10417	knownFor	10419
10417	knownFor	10420
10417	knownFor	10421
10417	knownFor	10422
10417	prizes	10423
10426	doctoralStudents	10417
10427	wars	10428
10427	wars	10431
10432	district	10434
10432	rival	10433
10435	metropolitanCity	10436
10435	saint	10437
10438	constituencyWestminster	10440
10438	unitaryEngland	6021
10441	cauldron	19859
10443	cauldron	19866
10443	cauldron	19867
10443	openedBy	19864
10445	hometown	10446
10447	receiver	10449
10447	receiver	10450
10452	bowlname	14434
10452	bowlname	14436
10459	role	4578
1046	surface	39660
10460	postal2CodeType	28
10461	blankInfo	10463
10461	governmentType	10462
10464	east	10474
10464	northwest	10472
10464	southeast	10471
10466	currentmp	27161
10469	governingBody	37278
1047	competition	1050
1047	leagueTopscorer	1049
1047	winners	1048
10472	east	10475
10472	north	10487
10472	northwest	10476
10472	south	10467
10472	southwest	10486
10475	east	10470
10475	north	10489
10475	seat	34998
10476	blank2NameSec	10468
10476	north	10478
10476	seat	10479
10476	southeast	10477
10476	southwest	10480
10479	blank1InfoSec	10488
10479	blank1InfoSec	42989
10479	otherName	42988
10481	competition	10482
10483	mountains	10484
10483	sprints	8374
10485	governingBody	28284
10485	leaderParty	35995
10495	employmentField	10497
10495	relatedOccupation	10498
105	builder	106
10505	locationCity	10506
10505	locationCountry	312
1051	cauldron	1053
10513	fastDriver	10514
10513	firstDriver	10515
10513	secondDriver	10517
10513	thirdTeam	10519
10514	with	36168
10517	currentTeam	38286
10519	founder	37395
10521	homeCoach	10524
10521	qb	10522
10521	receiver	10523
10525	commander	10526
10525	commander	10527
10525	commander	7359
10528	arena	10529
10530	bronze	10531
10530	bronze	10539
10530	bronze	10542
10530	gold	10533
10530	player	10534
10530	player	10535
